run_id	hilton_neuron_count	delta_neuron_count	hilton_multiplier	delta_multiplier	hit_delta	hit_hilton	hit_four_seasons	hit_hawaiian	raw_log
55	250	250	4.50	4.50	0	1	0	1	double_250_output/logs/run_55_hc250_dc250_hm4.5_dm4.5.log
56	250	250	4.50	5.00	0	1	0	1	double_250_output/logs/run_56_hc250_dc250_hm4.5_dm5.0.log
57	250	250	5.00	1.50	0	0	0	0	double_250_output/logs/run_57_hc250_dc250_hm5.0_dm1.5.log
58	250	250	5.00	2.00	1	1	0	0	double_250_output/logs/run_58_hc250_dc250_hm5.0_dm2.0.log
59	250	250	5.00	2.50	1	1	0	0	double_250_output/logs/run_59_hc250_dc250_hm5.0_dm2.5.log
60	250	250	5.00	3.00	1	1	0	0	double_250_output/logs/run_60_hc250_dc250_hm5.0_dm3.0.log
61	250	250	5.00	3.50	0	1	0	1	double_250_output/logs/run_61_hc250_dc250_hm5.0_dm3.5.log
62	250	250	5.00	4.00	0	1	0	1	double_250_output/logs/run_62_hc250_dc250_hm5.0_dm4.0.log
63	250	250	5.00	4.50	0	1	0	1	double_250_output/logs/run_63_hc250_dc250_hm5.0_dm4.5.log
64	250	250	5.00	5.00	0	1	0	1	double_250_output/logs/run_64_hc250_dc250_hm5.0_dm5.0.log
